Image1,Image2,Similar,Elapsed
D:\Abhishek_data\Image Compare\images\London1.jpg,D:\Abhishek_data\Image Compare\images\London2.png,0,0.03589110000000001
D:\Abhishek_data\Image Compare\images\London1.jpg,D:\Abhishek_data\Image Compare\images\London3.jpg,29,0.0299469
